Customer_ID,Customer_Name,Address,City_ID,Country_ID,Segment_ID,Agent ID
AA-00922,Adina Alfonso,C/213 Forth Floor Pocket 2,17,3,1,A10367
AA-01213,Amanda Alberto,C/2408 Forth Floor Pocket 6,8,5,2,A10405
AA-02218,Arabella Alfonso,C/2761 Third Floor Pocket 7,7,4,2,A10545
AA-02404,Alexis Alberto,C/1045 Forth Floor Pocket 9,3,3,2,A10542
AA-06852,Angel Alfonso,C/2721 Forth Floor Pocket 9,4,4,2,A10392
AB-05460,Alexis Batista,C/816 Forth Floor Pocket 5,14,6,1,A10586
AB-07250,Andrea Batista,C/2536 First Floor Pocket 1,8,5,1,A10433
AC-02893,Amanda Correia,C/948 First Floor Pocket 6,12,3,2,A10041
AD-01583,Aariana D'Costa,C/2086 Forth Floor Pocket 5,2,2,1,A10433
AD-01790,Arabella D'Costa,C/876 First Floor Pocket 3,8,5,2,A10410
AD-06327,Abigail D'Costa,C/1996 First Floor Pocket 1,2,2,1,A10583
AM-06889,Amey,C/416 Second Floor Pocket 6,20,1,1,A10394
AR-03817,Andrew Roberts,C/2264 First Floor Pocket 1,16,4,1,A10524
BD-02602,Britta D'Costa,C/2875 Forth Floor Pocket 3,20,1,1,A10354
BP-00798,Beth Paige,C/1289 Second Floor Pocket 3,22,1,2,A10435
CA-04014,Celina Alfonso,C/2042 Third Floor Pocket 2,17,3,1,A10433
CD-01187,Camila D'Costa,C/707 Second Floor Pocket 6,13,1,2,A10584
CV-06789,Christina VanderZanden,C/2906 Third Floor Pocket 7,14,6,1,A10372
DA-00772,Diya Al Din Ansari,F/2079 Second floor Pocket 7,12,3,2,A10571
DK-01585,Diya Kumari,C/2281 Second Floor Pocket 9,8,5,1,A10525
DV-06143,D VIJAYKUMAR,C/2425 First Floor Pocket 3,20,1,1,A10354
EA-04625,Ekhlaq Ansari,C/597 Second Floor Pocket 1,1,1,1,A10493
EB-05677,Ella Batista,C/2902 First Floor Pocket 5,12,3,2,A10485
EB-06987,Eugene Barchas,C/490 Second Floor Pocket 3,2,2,1,A10538
EC-06734,Ella Correia,C/112 Forth Floor Pocket 9,17,3,2,A10051
EC-07019,Erica Correia,C/585 First Floor Pocket 9,12,3,1,A10405
EC-07206,Erica Correia,C/2152 Second Floor Pocket 6,20,1,1,A10376
ED-02854,Estella D'Costa,C/356 Third Floor Pocket 7,10,1,1,A10578
FA-00676,Faateh Ansari,F/1349 Second floor Pocket 8,16,4,1,A10546
FA-02888,Faaiz Ansari,C/1365 Forth Floor Pocket 8,20,1,1,A10402
GA-01140,George Ashbrook,C/675 Second Floor Pocket 2,4,4,2,A10421
GA-05239,Ghaalib Ansari,C/1125 Third Floor Pocket 7,22,1,1,A10472
GC-04362,Giselle Correia,C/2626 First Floor Pocket 9,1,1,1,A10037
HS-04470,Harshavardhan Sharma,C/736 Third Floor Pocket 7,1,1,1,A10390
IN-05039,Izma Naaz,C/505 Forth Floor Pocket 8,12,3,2,A10464
JA-01731,Jennifer Alberto,C/2729 Second Floor Pocket 2,21,2,2,A10393
JA-04627,Jasmine Alberto,C/2621 Third Floor Pocket 7,20,1,2,A10517
JD-04355,Jasmine D'Costa,C/648 Third Floor Pocket 6,8,5,2,A10364
JG-06964,Jack Garza,C/1040 Third Floor Pocket 4,10,1,2,A10531
KC-01340,Khole Correia,C/1576 Third Floor Pocket 7,1,1,1,A10432
LA-05524,Lisa Alberto,C/1071 Second Floor Pocket 1,4,4,1,A10502
LM-06842,Liz MacKendrick,C/1085 Second Floor Pocket 7,17,3,2,A10416
ME-03859,Max Engle,C/1099 Second Floor Pocket 8,8,5,1,A10561
ML-07616,Maris LaWare,C/753 Third Floor Pocket 3,18,6,2,A10461
MM-00178,Mandar Mahto,B/1116 Ground Floor Pocket 2,24,6,1,A10344
MU-04545,Munjal,C/1612 Third Floor Pocket 7,12,3,1,A10369
NK-00686,Nidhi Kapoor,F/479 Forth Floor Pocket 5,9,1,1,A10470
NK-00942,Nidhi Kapoor,C/802 First Floor Pocket 5,7,4,2,A10044
NK-05248,Nisha Kumari,C/1879 First Floor Pocket 4,7,4,1,A10412
OB-02326,Olivia Batista,C/2951 First Floor Pocket 5,8,5,2,A10396
PR-00227,Prithvij,A/1795 Second floor Pocket 8,12,3,2,A10337
RB-00043,Roger Barcio,A/1799 Forth Floor Pocket 9,2,2,2,A10451
RB-05272,Randy Bradley,C/1038 Third Floor Pocket 3,2,2,2,A10494
RC-07639,Ryan Crowe,C/2040 First Floor Pocket 3,1,1,2,A10449
RF-01520,Riyad Faruqui,C/1245 Second Floor Pocket 2,22,1,2,A10533
RH-01237,Ritsa Hightower,C/1392 Third Floor Pocket 7,5,1,1,A10501
SC-01363,Sarah Correia,C/1231 First Floor Pocket 9,10,1,2,A10428
SC-02413,Sung Chung,C/327 Third Floor Pocket 2,5,1,1,A10364
SC-06990,Steven Cartwright,C/1183 Second Floor Pocket 9,2,2,1,A10402
SW-01682,Shaun Weien,C/286 Third Floor Pocket 2,16,4,2,A10352
TB-06123,Tim Brockman,C/2679 Forth Floor Pocket 3,6,3,1,A10549
VA-01183,Vivianna Alfonso,C/709 First Floor Pocket 3,9,1,1,A10443
VC-01069,Victoria Correia,C/959 Third Floor Pocket 1,7,4,1,A10428
VC-01681,Veronica Correia,C/1785 First Floor Pocket 4,8,5,2,A10451
VD-04071,Vanessa D'Costa,C/1559 First Floor Pocket 2,14,6,1,A10488
VK-05682,Vansha Kumari,C/2194 Third Floor Pocket 6,11,5,1,A10454
XA-05192,Xantara Alberto,C/1479 Second Floor Pocket 4,12,3,1,A10558
ZA-01867,Ziva Alfonso,C/2828 First Floor Pocket 1,11,5,2,A10351
ZB-04557,Ziona Batista,C/2947 Third Floor Pocket 2,10,1,1,A10551
ZB-07015,Ziona Batista,C/127 Third Floor Pocket 2,7,4,2,A10485
ZD-00994,Zara D'Costa,C/1208 Second Floor Pocket 7,7,4,1,A10537
ZD-04669,Zora D'Costa,C/1332 First Floor Pocket 2,2,2,2,A10587
AM-00454,Aarif Meer,F/971 Second floor Pocket 8,1,1,2,A10555
